Date, ZC025YR, ZC050YR, ZC075YR, ZC100YR, ZC125YR, ZC150YR, ZC175YR, ZC200YR, ZC225YR, ZC250YR, ZC275YR, ZC300YR, ZC325YR, ZC350YR, ZC375YR, ZC400YR, ZC425YR, ZC450YR, ZC475YR, ZC500YR, ZC525YR, ZC550YR, ZC575YR, ZC600YR, ZC625YR, ZC650YR, ZC675YR, ZC700YR, ZC725YR, ZC750YR, ZC775YR, ZC800YR, ZC825YR, ZC850YR, ZC875YR, ZC900YR, ZC925YR, ZC950YR, ZC975YR, ZC1000YR, ZC1025YR, ZC1050YR, ZC1075YR, ZC1100YR, ZC1125YR, ZC1150YR, ZC1175YR, ZC1200YR, ZC1225YR, ZC1250YR, ZC1275YR, ZC1300YR, ZC1325YR, ZC1350YR, ZC1375YR, ZC1400YR, ZC1425YR, ZC1450YR, ZC1475YR, ZC1500YR, ZC1525YR, ZC1550YR, ZC1575YR, ZC1600YR, ZC1625YR, ZC1650YR, ZC1675YR, ZC1700YR, ZC1725YR, ZC1750YR, ZC1775YR, ZC1800YR, ZC1825YR, ZC1850YR, ZC1875YR, ZC1900YR, ZC1925YR, ZC1950YR, ZC1975YR, ZC2000YR, ZC2025YR, ZC2050YR, ZC2075YR, ZC2100YR, ZC2125YR, ZC2150YR, ZC2175YR, ZC2200YR, ZC2225YR, ZC2250YR, ZC2275YR, ZC2300YR, ZC2325YR, ZC2350YR, ZC2375YR, ZC2400YR, ZC2425YR, ZC2450YR, ZC2475YR, ZC2500YR, ZC2525YR, ZC2550YR, ZC2575YR, ZC2600YR, ZC2625YR, ZC2650YR, ZC2675YR, ZC2700YR, ZC2725YR, ZC2750YR, ZC2775YR, ZC2800YR, ZC2825YR, ZC2850YR, ZC2875YR, ZC2900YR, ZC2925YR, ZC2950YR, ZC2975YR, ZC3000YR, 
2022-07-04, 0.0213566000, 0.0268737000, 0.0294248000, 0.0319760000, 0.0302134000, 0.0303906000, 0.0304560000, 0.0304578000, 0.0304245000, 0.0303740000, 0.0303176000, 0.0302632000, 0.0302158000, 0.0301786000, 0.0301536000, 0.0301417000, 0.0301432000, 0.0301579000, 0.0301851000, 0.0302241000, 0.0302737000, 0.0303327000, 0.0304000000, 0.0304743000, 0.0305543000, 0.0306387000, 0.0307265000, 0.0308165000, 0.0309077000, 0.0309990000, 0.0310897000, 0.0311790000, 0.0312661000, 0.0313504000, 0.0314314000, 0.0315086000, 0.0315817000, 0.0316504000, 0.0317144000, 0.0317735000, 0.0318277000, 0.0318768000, 0.0319209000, 0.0319600000, 0.0319941000, 0.0320233000, 0.0320479000, 0.0320679000, 0.0320835000, 0.0320949000, 0.0321024000, 0.0321061000, 0.0321063000, 0.0321032000, 0.0320970000, 0.0320880000, 0.0320764000, 0.0320625000, 0.0320464000, 0.0320284000, 0.0320087000, 0.0319875000, 0.0319650000, 0.0319414000, 0.0319167000, 0.0318913000, 0.0318652000, 0.0318386000, 0.0318116000, 0.0317843000, 0.0317568000, 0.0317292000, 0.0317016000, 0.0316741000, 0.0316467000, 0.0316195000, 0.0315924000, 0.0315657000, 0.0315392000, 0.0315130000, 0.0314871000, 0.0314616000, 0.0314363000, 0.0314114000, 0.0313869000, 0.0313626000, 0.0313386000, 0.0313149000, 0.0312915000, 0.0312683000, 0.0312454000, 0.0312227000, 0.0312001000, 0.0311777000, 0.0311555000, 0.0311333000, 0.0311113000, 0.0310894000, 0.0310675000, 0.0310456000, 0.0310239000, 0.0310021000, 0.0309803000, 0.0309586000, 0.0309368000, 0.0309151000, 0.0308934000, 0.0308716000, 0.0308499000, 0.0308282000, 0.0308065000, 0.0307849000, 0.0307633000, 0.0307418000, 0.0307204000, 0.0306992000, 0.0306780000, 0.0306571000, 0.0306364000, 0.0306159000, 
2022-07-05, 0.0214325000, 0.0270294000, 0.0293972000, 0.0317649000, 0.0299031000, 0.0299457000, 0.0298989000, 0.0298085000, 0.0297000000, 0.0295883000, 0.0294825000, 0.0293883000, 0.0293089000, 0.0292461000, 0.0292007000, 0.0291725000, 0.0291612000, 0.0291660000, 0.0291856000, 0.0292189000, 0.0292646000, 0.0293213000, 0.0293875000, 0.0294620000, 0.0295433000, 0.0296302000, 0.0297215000, 0.0298160000, 0.0299126000, 0.0300104000, 0.0301084000, 0.0302058000, 0.0303020000, 0.0303961000, 0.0304876000, 0.0305761000, 0.0306610000, 0.0307420000, 0.0308189000, 0.0308912000, 0.0309590000, 0.0310219000, 0.0310799000, 0.0311331000, 0.0311813000, 0.0312246000, 0.0312630000, 0.0312968000, 0.0313258000, 0.0313504000, 0.0313706000, 0.0313866000, 0.0313986000, 0.0314068000, 0.0314115000, 0.0314127000, 0.0314107000, 0.0314057000, 0.0313980000, 0.0313877000, 0.0313750000, 0.0313602000, 0.0313435000, 0.0313249000, 0.0313048000, 0.0312833000, 0.0312605000, 0.0312367000, 0.0312119000, 0.0311864000, 0.0311601000, 0.0311334000, 0.0311062000, 0.0310787000, 0.0310509000, 0.0310231000, 0.0309952000, 0.0309672000, 0.0309394000, 0.0309117000, 0.0308841000, 0.0308568000, 0.0308297000, 0.0308029000, 0.0307763000, 0.0307501000, 0.0307242000, 0.0306987000, 0.0306734000, 0.0306485000, 0.0306239000, 0.0305997000, 0.0305758000, 0.0305522000, 0.0305289000, 0.0305058000, 0.0304831000, 0.0304606000, 0.0304383000, 0.0304163000, 0.0303945000, 0.0303729000, 0.0303515000, 0.0303303000, 0.0303092000, 0.0302883000, 0.0302676000, 0.0302470000, 0.0302266000, 0.0302063000, 0.0301862000, 0.0301662000, 0.0301464000, 0.0301267000, 0.0301072000, 0.0300879000, 0.0300688000, 0.0300499000, 0.0300313000, 0.0300129000, 
2022-07-06, 0.0216138000, 0.0275968000, 0.0301642000, 0.0327316000, 0.0310930000, 0.0311543000, 0.0311107000, 0.0310144000, 0.0308948000, 0.0307696000, 0.0306495000, 0.0305412000, 0.0304487000, 0.0303742000, 0.0303186000, 0.0302820000, 0.0302638000, 0.0302631000, 0.0302785000, 0.0303087000, 0.0303521000, 0.0304070000, 0.0304719000, 0.0305452000, 0.0306252000, 0.0307106000, 0.0308000000, 0.0308921000, 0.0309856000, 0.0310796000, 0.0311731000, 0.0312651000, 0.0313549000, 0.0314418000, 0.0315253000, 0.0316049000, 0.0316801000, 0.0317507000, 0.0318163000, 0.0318768000, 0.0319321000, 0.0319822000, 0.0320269000, 0.0320663000, 0.0321006000, 0.0321297000, 0.0321539000, 0.0321734000, 0.0321882000, 0.0321987000, 0.0322049000, 0.0322073000, 0.0322059000, 0.0322011000, 0.0321931000, 0.0321822000, 0.0321685000, 0.0321524000, 0.0321340000, 0.0321136000, 0.0320914000, 0.0320677000, 0.0320426000, 0.0320163000, 0.0319890000, 0.0319609000, 0.0319321000, 0.0319028000, 0.0318731000, 0.0318431000, 0.0318129000, 0.0317827000, 0.0317526000, 0.0317225000, 0.0316926000, 0.0316630000, 0.0316336000, 0.0316045000, 0.0315759000, 0.0315476000, 0.0315197000, 0.0314922000, 0.0314652000, 0.0314386000, 0.0314125000, 0.0313867000, 0.0313614000, 0.0313365000, 0.0313120000, 0.0312878000, 0.0312640000, 0.0312406000, 0.0312174000, 0.0311946000, 0.0311720000, 0.0311496000, 0.0311275000, 0.0311056000, 0.0310839000, 0.0310624000, 0.0310410000, 0.0310198000, 0.0309987000, 0.0309778000, 0.0309569000, 0.0309362000, 0.0309155000, 0.0308950000, 0.0308745000, 0.0308542000, 0.0308340000, 0.0308139000, 0.0307940000, 0.0307742000, 0.0307545000, 0.0307351000, 0.0307158000, 0.0306968000, 0.0306780000, 0.0306595000, 
2022-07-07, 0.0217372000, 0.0277446000, 0.0304471000, 0.0331496000, 0.0317328000, 0.0318081000, 0.0317721000, 0.0316794000, 0.0315608000, 0.0314343000, 0.0313113000, 0.0311985000, 0.0311001000, 0.0310184000, 0.0309546000, 0.0309087000, 0.0308803000, 0.0308686000, 0.0308724000, 0.0308904000, 0.0309212000, 0.0309632000, 0.0310151000, 0.0310753000, 0.0311424000, 0.0312150000, 0.0312919000, 0.0313719000, 0.0314538000, 0.0315367000, 0.0316197000, 0.0317019000, 0.0317826000, 0.0318612000, 0.0319371000, 0.0320099000, 0.0320791000, 0.0321445000, 0.0322057000, 0.0322626000, 0.0323150000, 0.0323629000, 0.0324061000, 0.0324447000, 0.0324788000, 0.0325083000, 0.0325334000, 0.0325541000, 0.0325707000, 0.0325832000, 0.0325919000, 0.0325969000, 0.0325984000, 0.0325966000, 0.0325916000, 0.0325838000, 0.0325732000, 0.0325601000, 0.0325447000, 0.0325272000, 0.0325077000, 0.0324864000, 0.0324635000, 0.0324392000, 0.0324135000, 0.0323868000, 0.0323591000, 0.0323305000, 0.0323011000, 0.0322712000, 0.0322407000, 0.0322098000, 0.0321786000, 0.0321471000, 0.0321155000, 0.0320838000, 0.0320521000, 0.0320204000, 0.0319887000, 0.0319572000, 0.0319258000, 0.0318946000, 0.0318637000, 0.0318330000, 0.0318025000, 0.0317724000, 0.0317425000, 0.0317130000, 0.0316838000, 0.0316549000, 0.0316264000, 0.0315982000, 0.0315704000, 0.0315430000, 0.0315158000, 0.0314891000, 0.0314627000, 0.0314367000, 0.0314110000, 0.0313857000, 0.0313608000, 0.0313362000, 0.0313121000, 0.0312883000, 0.0312648000, 0.0312418000, 0.0312191000, 0.0311969000, 0.0311751000, 0.0311536000, 0.0311326000, 0.0311121000, 0.0310919000, 0.0310723000, 0.0310531000, 0.0310344000, 0.0310162000, 0.0309985000, 0.0309814000, 0.0309648000, 
2022-07-08, 0.0217753000, 0.0279777000, 0.0307634000, 0.0335490000, 0.0323125000, 0.0324535000, 0.0324693000, 0.0324171000, 0.0323298000, 0.0322273000, 0.0321223000, 0.0320230000, 0.0319344000, 0.0318597000, 0.0318005000, 0.0317574000, 0.0317305000, 0.0317192000, 0.0317224000, 0.0317390000, 0.0317677000, 0.0318071000, 0.0318557000, 0.0319120000, 0.0319746000, 0.0320422000, 0.0321134000, 0.0321871000, 0.0322621000, 0.0323374000, 0.0324122000, 0.0324856000, 0.0325568000, 0.0326253000, 0.0326904000, 0.0327519000, 0.0328093000, 0.0328622000, 0.0329106000, 0.0329542000, 0.0329929000, 0.0330267000, 0.0330556000, 0.0330797000, 0.0330990000, 0.0331137000, 0.0331238000, 0.0331297000, 0.0331314000, 0.0331292000, 0.0331232000, 0.0331138000, 0.0331011000, 0.0330853000, 0.0330668000, 0.0330458000, 0.0330224000, 0.0329969000, 0.0329696000, 0.0329406000, 0.0329101000, 0.0328784000, 0.0328456000, 0.0328119000, 0.0327775000, 0.0327425000, 0.0327070000, 0.0326712000, 0.0326353000, 0.0325993000, 0.0325632000, 0.0325273000, 0.0324916000, 0.0324561000, 0.0324210000, 0.0323862000, 0.0323518000, 0.0323179000, 0.0322845000, 0.0322515000, 0.0322191000, 0.0321873000, 0.0321560000, 0.0321252000, 0.0320950000, 0.0320653000, 0.0320362000, 0.0320076000, 0.0319795000, 0.0319519000, 0.0319248000, 0.0318983000, 0.0318721000, 0.0318465000, 0.0318212000, 0.0317964000, 0.0317720000, 0.0317480000, 0.0317244000, 0.0317011000, 0.0316782000, 0.0316556000, 0.0316334000, 0.0316115000, 0.0315900000, 0.0315687000, 0.0315478000, 0.0315272000, 0.0315070000, 0.0314870000, 0.0314674000, 0.0314482000, 0.0314292000, 0.0314107000, 0.0313925000, 0.0313747000, 0.0313573000, 0.0313403000, 0.0313237000, 0.0313076000, 
2022-07-11, 0.0223488000, 0.0281393000, 0.0308650000, 0.0335907000, 0.0322319000, 0.0322943000, 0.0322632000, 0.0321861000, 0.0320868000, 0.0319784000, 0.0318688000, 0.0317630000, 0.0316644000, 0.0315756000, 0.0314982000, 0.0314335000, 0.0313823000, 0.0313448000, 0.0313212000, 0.0313110000, 0.0313139000, 0.0313289000, 0.0313554000, 0.0313920000, 0.0314379000, 0.0314917000, 0.0315523000, 0.0316184000, 0.0316888000, 0.0317623000, 0.0318380000, 0.0319146000, 0.0319913000, 0.0320671000, 0.0321413000, 0.0322132000, 0.0322822000, 0.0323476000, 0.0324092000, 0.0324665000, 0.0325192000, 0.0325672000, 0.0326103000, 0.0326485000, 0.0326817000, 0.0327099000, 0.0327332000, 0.0327518000, 0.0327657000, 0.0327752000, 0.0327804000, 0.0327816000, 0.0327789000, 0.0327727000, 0.0327631000, 0.0327504000, 0.0327348000, 0.0327166000, 0.0326960000, 0.0326732000, 0.0326485000, 0.0326220000, 0.0325940000, 0.0325646000, 0.0325340000, 0.0325024000, 0.0324699000, 0.0324367000, 0.0324030000, 0.0323687000, 0.0323340000, 0.0322991000, 0.0322640000, 0.0322288000, 0.0321935000, 0.0321582000, 0.0321230000, 0.0320879000, 0.0320530000, 0.0320182000, 0.0319837000, 0.0319493000, 0.0319152000, 0.0318814000, 0.0318479000, 0.0318147000, 0.0317818000, 0.0317491000, 0.0317168000, 0.0316849000, 0.0316532000, 0.0316219000, 0.0315909000, 0.0315603000, 0.0315300000, 0.0315001000, 0.0314705000, 0.0314413000, 0.0314125000, 0.0313840000, 0.0313560000, 0.0313284000, 0.0313012000, 0.0312744000, 0.0312481000, 0.0312223000, 0.0311969000, 0.0311720000, 0.0311477000, 0.0311239000, 0.0311006000, 0.0310779000, 0.0310558000, 0.0310343000, 0.0310134000, 0.0309932000, 0.0309736000, 0.0309547000, 0.0309366000, 0.0309191000, 
2022-07-12, 0.0224125000, 0.0278508000, 0.0304696000, 0.0330885000, 0.0316327000, 0.0316695000, 0.0316216000, 0.0315339000, 0.0314289000, 0.0313187000, 0.0312103000, 0.0311079000, 0.0310143000, 0.0309313000, 0.0308602000, 0.0308017000, 0.0307562000, 0.0307238000, 0.0307044000, 0.0306976000, 0.0307028000, 0.0307193000, 0.0307463000, 0.0307829000, 0.0308280000, 0.0308807000, 0.0309398000, 0.0310043000, 0.0310731000, 0.0311452000, 0.0312196000, 0.0312955000, 0.0313718000, 0.0314479000, 0.0315229000, 0.0315963000, 0.0316674000, 0.0317357000, 0.0318008000, 0.0318623000, 0.0319199000, 0.0319734000, 0.0320226000, 0.0320673000, 0.0321074000, 0.0321430000, 0.0321741000, 0.0322006000, 0.0322227000, 0.0322405000, 0.0322541000, 0.0322636000, 0.0322693000, 0.0322713000, 0.0322698000, 0.0322649000, 0.0322570000, 0.0322462000, 0.0322326000, 0.0322165000, 0.0321982000, 0.0321777000, 0.0321553000, 0.0321311000, 0.0321054000, 0.0320782000, 0.0320498000, 0.0320203000, 0.0319897000, 0.0319584000, 0.0319263000, 0.0318935000, 0.0318603000, 0.0318266000, 0.0317926000, 0.0317583000, 0.0317238000, 0.0316892000, 0.0316545000, 0.0316198000, 0.0315851000, 0.0315505000, 0.0315159000, 0.0314816000, 0.0314474000, 0.0314134000, 0.0313796000, 0.0313461000, 0.0313128000, 0.0312798000, 0.0312471000, 0.0312148000, 0.0311827000, 0.0311510000, 0.0311197000, 0.0310887000, 0.0310581000, 0.0310279000, 0.0309981000, 0.0309687000, 0.0309397000, 0.0309112000, 0.0308831000, 0.0308555000, 0.0308283000, 0.0308017000, 0.0307755000, 0.0307499000, 0.0307248000, 0.0307003000, 0.0306763000, 0.0306529000, 0.0306301000, 0.0306079000, 0.0305864000, 0.0305655000, 0.0305452000, 0.0305256000, 0.0305067000, 0.0304885000, 
2022-07-13, 0.0256098000, 0.0296363000, 0.0319945000, 0.0343527000, 0.0327253000, 0.0327310000, 0.0326329000, 0.0324786000, 0.0322961000, 0.0321027000, 0.0319100000, 0.0317253000, 0.0315535000, 0.0313976000, 0.0312593000, 0.0311394000, 0.0310379000, 0.0309545000, 0.0308883000, 0.0308383000, 0.0308034000, 0.0307823000, 0.0307736000, 0.0307760000, 0.0307882000, 0.0308089000, 0.0308368000, 0.0308709000, 0.0309100000, 0.0309531000, 0.0309992000, 0.0310476000, 0.0310974000, 0.0311479000, 0.0311985000, 0.0312487000, 0.0312979000, 0.0313457000, 0.0313919000, 0.0314359000, 0.0314776000, 0.0315168000, 0.0315533000, 0.0315869000, 0.0316175000, 0.0316451000, 0.0316696000, 0.0316910000, 0.0317093000, 0.0317245000, 0.0317366000, 0.0317457000, 0.0317519000, 0.0317552000, 0.0317557000, 0.0317535000, 0.0317487000, 0.0317413000, 0.0317316000, 0.0317196000, 0.0317053000, 0.0316890000, 0.0316707000, 0.0316506000, 0.0316287000, 0.0316051000, 0.0315800000, 0.0315534000, 0.0315256000, 0.0314964000, 0.0314662000, 0.0314348000, 0.0314026000, 0.0313694000, 0.0313355000, 0.0313008000, 0.0312656000, 0.0312298000, 0.0311935000, 0.0311569000, 0.0311199000, 0.0310826000, 0.0310452000, 0.0310076000, 0.0309700000, 0.0309323000, 0.0308946000, 0.0308571000, 0.0308196000, 0.0307824000, 0.0307454000, 0.0307086000, 0.0306721000, 0.0306360000, 0.0306002000, 0.0305649000, 0.0305300000, 0.0304956000, 0.0304617000, 0.0304284000, 0.0303956000, 0.0303634000, 0.0303318000, 0.0303008000, 0.0302705000, 0.0302409000, 0.0302119000, 0.0301837000, 0.0301562000, 0.0301294000, 0.0301034000, 0.0300781000, 0.0300537000, 0.0300300000, 0.0300071000, 0.0299850000, 0.0299637000, 0.0299433000, 0.0299237000, 0.0299049000, 
2022-07-14, 0.0259150000, 0.0302417000, 0.0325413000, 0.0348409000, 0.0326389000, 0.0325141000, 0.0323517000, 0.0321824000, 0.0320189000, 0.0318662000, 0.0317256000, 0.0315974000, 0.0314809000, 0.0313758000, 0.0312814000, 0.0311972000, 0.0311231000, 0.0310586000, 0.0310037000, 0.0309580000, 0.0309214000, 0.0308936000, 0.0308744000, 0.0308634000, 0.0308602000, 0.0308645000, 0.0308757000, 0.0308933000, 0.0309168000, 0.0309456000, 0.0309790000, 0.0310166000, 0.0310576000, 0.0311015000, 0.0311477000, 0.0311955000, 0.0312445000, 0.0312941000, 0.0313437000, 0.0313930000, 0.0314414000, 0.0314886000, 0.0315341000, 0.0315777000, 0.0316191000, 0.0316580000, 0.0316941000, 0.0317273000, 0.0317575000, 0.0317844000, 0.0318081000, 0.0318284000, 0.0318453000, 0.0318589000, 0.0318690000, 0.0318758000, 0.0318792000, 0.0318795000, 0.0318765000, 0.0318705000, 0.0318615000, 0.0318497000, 0.0318352000, 0.0318181000, 0.0317985000, 0.0317766000, 0.0317526000, 0.0317265000, 0.0316985000, 0.0316688000, 0.0316374000, 0.0316047000, 0.0315706000, 0.0315353000, 0.0314989000, 0.0314616000, 0.0314235000, 0.0313847000, 0.0313454000, 0.0313055000, 0.0312653000, 0.0312248000, 0.0311842000, 0.0311434000, 0.0311026000, 0.0310619000, 0.0310214000, 0.0309810000, 0.0309409000, 0.0309011000, 0.0308617000, 0.0308227000, 0.0307842000, 0.0307462000, 0.0307088000, 0.0306719000, 0.0306357000, 0.0306001000, 0.0305651000, 0.0305309000, 0.0304974000, 0.0304646000, 0.0304325000, 0.0304012000, 0.0303707000, 0.0303409000, 0.0303120000, 0.0302838000, 0.0302565000, 0.0302300000, 0.0302042000, 0.0301793000, 0.0301552000, 0.0301319000, 0.0301095000, 0.0300878000, 0.0300670000, 0.0300470000, 0.0300278000, 0.0300094000, 
2022-07-15, 0.0259092000, 0.0300430000, 0.0322011000, 0.0343592000, 0.0321771000, 0.0320034000, 0.0318009000, 0.0315995000, 0.0314114000, 0.0312407000, 0.0310881000, 0.0309526000, 0.0308327000, 0.0307271000, 0.0306343000, 0.0305530000, 0.0304823000, 0.0304214000, 0.0303696000, 0.0303265000, 0.0302915000, 0.0302645000, 0.0302450000, 0.0302328000, 0.0302275000, 0.0302290000, 0.0302368000, 0.0302506000, 0.0302702000, 0.0302951000, 0.0303248000, 0.0303591000, 0.0303973000, 0.0304392000, 0.0304842000, 0.0305318000, 0.0305816000, 0.0306331000, 0.0306858000, 0.0307393000, 0.0307931000, 0.0308469000, 0.0309001000, 0.0309524000, 0.0310035000, 0.0310531000, 0.0311007000, 0.0311461000, 0.0311891000, 0.0312294000, 0.0312669000, 0.0313013000, 0.0313325000, 0.0313604000, 0.0313848000, 0.0314058000, 0.0314233000, 0.0314371000, 0.0314475000, 0.0314542000, 0.0314575000, 0.0314573000, 0.0314537000, 0.0314469000, 0.0314368000, 0.0314236000, 0.0314075000, 0.0313885000, 0.0313668000, 0.0313425000, 0.0313159000, 0.0312869000, 0.0312559000, 0.0312229000, 0.0311882000, 0.0311518000, 0.0311139000, 0.0310747000, 0.0310344000, 0.0309931000, 0.0309509000, 0.0309080000, 0.0308645000, 0.0308206000, 0.0307764000, 0.0307320000, 0.0306876000, 0.0306432000, 0.0305989000, 0.0305550000, 0.0305114000, 0.0304682000, 0.0304256000, 0.0303836000, 0.0303422000, 0.0303016000, 0.0302619000, 0.0302229000, 0.0301849000, 0.0301479000, 0.0301118000, 0.0300768000, 0.0300429000, 0.0300100000, 0.0299782000, 0.0299475000, 0.0299180000, 0.0298896000, 0.0298624000, 0.0298363000, 0.0298114000, 0.0297876000, 0.0297649000, 0.0297434000, 0.0297230000, 0.0297037000, 0.0296855000, 0.0296684000, 0.0296523000, 0.0296373000, 
